ILI,ILCESI,MAHALLESI,DAIRE_YASAL_M2,KAT_NO,BINA_YASI,KAT_ADEDI,İNŞAAT_SEVİYESİ,ASANSÖR,DAIRE_SALON,DAIRE_MUTFAK,DAIRE_ODA,DAIRE_BANYO,NIHAI_DEGERI,ADRES,DOLAR,TÜFE_KONUT,TÜFE_KİRA,TÜFE_KONUTBAKIM,TÜFE_KONUTLAİLGİLİ,TÜFE,ÜFE,KONUT_FAİZ,CAM,KİL,ÇİMENTO,METAL,KFE,KFB
İSTANBUL,PENDİK,ÇAMLIK,108.0,4,12,8,100,1,1,1.0,3,2,398520.0,İSTANBUL_PENDİK_ÇAMLIK,6.1463,495.65,535.78,465.16,375.11,448.02,464.64,11.425,379.46,504.23,398.69,662.86,109.8,5134.8
İSTANBUL,PENDİK,KAVAKPINAR,70.0,2,10,6,100,1,1,1.0,2,1,2450000.0,İSTANBUL_PENDİK_KAVAKPINAR,6.1593,495.65,535.78,465.16,375.11,448.02,464.64,11.425,379.46,504.23,398.69,662.86,109.8,5134.8
İSTANBUL,PENDİK,BATI,78.0,1,4,8,100,1,1,1.0,2,1,4500000.0,İSTANBUL_PENDİK_BATI,6.2259,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,GÜZELYALI,113.0,2,18,6,100,1,1,1.0,3,1,3000000.0,İSTANBUL_PENDİK_GÜZELYALI,6.2259,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,GÜZELYALI,93.0,2,11,6,100,1,1,1.0,3,1,4000000.0,İSTANBUL_PENDİK_GÜZELYALI,6.2192,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,YAYALAR,160.0,3,15,7,100,1,1,1.0,5,2,4200000.0,İSTANBUL_PENDİK_YAYALAR,6.2192,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,VELİBABA,81.0,5,4,12,92,1,1,1.0,2,2,3150000.0,İSTANBUL_PENDİK_VELİBABA,6.2192,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,HARMANDERE,81.0,6,12,13,100,1,2,1.0,2,1,4200000.0,İSTANBUL_PENDİK_HARMANDERE,6.2192,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,SÜLÜNTEPE,63.0,7,5,11,100,1,1,1.0,2,1,2400000.0,İSTANBUL_PENDİK_SÜLÜNTEPE,6.0772,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,AHMET YESEVİ,78.0,5,5,12,100,1,1,1.0,2,1,2900000.0,İSTANBUL_PENDİK_AHMET YESEVİ,6.0772,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,FEVZİ ÇAKMAK,77.0,1,6,13,100,1,1,1.0,2,1,3600000.0,İSTANBUL_PENDİK_FEVZİ ÇAKMAK,6.0772,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,KURTKÖY,76.0,9,7,11,100,1,2,1.0,2,1,3200000.0,İSTANBUL_PENDİK_KURTKÖY,6.0821,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,FEVZİ ÇAKMAK,90.0,3,15,7,100,1,1,1.0,3,1,3400000.0,İSTANBUL_PENDİK_FEVZİ ÇAKMAK,6.0821,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,AHMET YESEVİ,162.0,3,13,4,100,0,1,1.0,4,2,299650.0,İSTANBUL_PENDİK_AHMET YESEVİ,6.1098,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,ESENLER,85.0,4,0,8,100,1,1,1.0,2,1,268260.0,İSTANBUL_PENDİK_ESENLER,6.1098,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,KAVAKPINAR,75.0,4,6,11,100,1,1,1.0,2,1,2800000.0,İSTANBUL_PENDİK_KAVAKPINAR,6.1151,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,VELİBABA,73.0,8,7,12,100,1,1,1.0,2,1,3000000.0,İSTANBUL_PENDİK_VELİBABA,6.1151,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,YENİŞEHİR,83.0,3,26,12,100,0,1,1.0,3,1,2500000.0,İSTANBUL_PENDİK_YENİŞEHİR,6.1151,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,VELİBABA,80.0,2,15,6,100,0,1,1.0,2,1,2400000.0,İSTANBUL_PENDİK_VELİBABA,6.1502,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,YAYALAR,109.0,0,21,7,100,1,1,1.0,3,1,3300000.0,İSTANBUL_PENDİK_YAYALAR,6.2264,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,KURTKÖY,79.0,1,2,9,100,0,1,1.0,1,2,369957.0,İSTANBUL_PENDİK_KURTKÖY,6.2264,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
